experiment	commit	metric	status	description
rgb5_sep_lastblock_a8_dropout0_100	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	-1.000000	train_error	Branch 3: batch_size=8, dropout=0.0: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 6.00 MiB is free. Process 896916 has 16.21 GiB memory in use. Process 897031 has 3.58 GiB memory in use. Including non-PyTorch memory, this process has 3.50 GiB memory in use. Of the allocated memory 2.83 GiB is allocated by PyTorch, and 196.82 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
rgb5_sep_lastblock_a8_lr2e5_100	105a0507cb24b56fd0dbe62961dfc84ad8b41c35		trained_pending_audit	5RGB + obs3 + separate encoders + last_block + n_action_steps=8 baseline
rgb5_sep_lastblock_a8_lr2e5_100	105a0507cb24b56fd0dbe62961dfc84ad8b41c35	0.000000	keep	5RGB + obs3 + separate encoders + last_block + n_action_steps=8 baseline
2026-04-13    rgb5_sep_lastblock_a8_lr2e5_100    105a050    success@20=0.0    FAILED    last_block + a8 baseline failed 100ep gate
mdit_trial	28adab6b45f51435fe4f3fa3a1d456d2e628df95		trained_pending_audit	unplug_charger_mdit_rgb5_sep_lastblock_a8_gate100__mdit_trial__e0001__20260413_011931
rgb5_sep_lastblock_a8_lr2e5_100_v2	28adab6b45f51435fe4f3fa3a1d456d2e628df95	-1.000000	train_error	5RGB+obs3+last_block+a8+baseline - output_proj fix: CUDA out of memory. Tried to allocate 14.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 10.00 MiB is free. Process 1121705 has 6.52 GiB memory in use. Process 1121698 has 6.62 GiB memory in use. Including non-PyTorch memory, this process has 10.16 GiB memory in use. Of the allocated memory 9.07 GiB is allocated by PyTorch, and 510.85 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
rgb5_sep_lastblock_a8_dropout0_100_v2	28adab6b45f51435fe4f3fa3a1d456d2e628df95	-1.000000	train_error	5RGB+obs3+last_block+a8+dropout0 - output_proj fix: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 8.00 MiB is free. Including non-PyTorch memory, this process has 6.52 GiB memory in use. Process 1121698 has 6.62 GiB memory in use. Process 1121697 has 10.16 GiB memory in use. Of the allocated memory 5.65 GiB is allocated by PyTorch, and 390.80 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
rgb5_sep_lastblock_a8_lr1p5e5_100_v2	28adab6b45f51435fe4f3fa3a1d456d2e628df95	-1.000000	train_error	5RGB+obs3+last_block+a8+lr1.5e5 - output_proj fix: CUDA out of memory. Tried to allocate 16.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 8.00 MiB is free. Process 1121705 has 6.52 GiB memory in use. Including non-PyTorch memory, this process has 6.62 GiB memory in use. Process 1121697 has 10.16 GiB memory in use. Of the allocated memory 5.66 GiB is allocated by PyTorch, and 402.66 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
rgb5_sep_lastblock_a8_lr2e5_100_v2	28adab6b45f51435fe4f3fa3a1d456d2e628df95		trained_pending_audit	5RGB+obs3+last_block+a8+baseline - output_proj fix
rgb5_sep_lastblock_a8_lr2e5_100_v2	b1feca59a21bcf513acf519f92239dfbb85a1322	0.200000	keep	5RGB+obs3+last_block+a8+baseline - output_proj fix
